id,marca_temporal,anios_experiencia,anios_trabajo_hospital,cargo,sala,interacciones_mes,pregunta,respuesta,respuesta_num
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_recomendaciones_claras,De acuerdo,4
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_buena_comunicacion,Muy de acuerdo,5
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_continuidad_cuidados,De acuerdo,4
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_mejora_calidad_atencion,De acuerdo,4
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_apoyo_manejo_pacientes,De acuerdo,4
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_perspectiva_biopsicosocial,Muy de acuerdo,5
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_reduce_carga_trabajo,Ni deacuerdo ni en desacuerdo,3
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_disminuye_conflictos,De acuerdo,4
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_satisfaccion_general,Muy de acuerdo,5
20,24/6/2026 11:34:43,5,5,Staff,Sala L,20,q_mantener_extender_modelo,Muy de acuerdo,5
21,25/6/2026 10:33:32,1,1,Becado/a,Sala J,3,q_responde_oportuno,De acuerdo,4
21,25/6/2026 10:33:32,1,1,Becado/a,Sala J,3,q_facil_contactar,Muy de acuerdo,5
21,25/6/2026 10:33:32,1,1,Becado/a,Sala J,3,q_recomendaciones_claras,Muy de acuerdo,5
